"YEAR","SAMPLE","SERIAL","CBSERIAL","HHWT","CLUSTER","STRATA","GQ","PERNUM","PERWT","NCHILD","NCHLT5","SEX","AGE","MARST","RACE","RACED","HISPAN","HISPAND","EDUC","EDUCD","EMPSTAT","EMPSTATD","INCWAGE","VETSTAT","VETSTATD"
2019,201901,4838,2019000168393,1393.2,2019000048381,100001,1,1,1393.2,1,0,1,44,4,1,100,4,498,2,25,1,10,44400,1,11
2019,201901,4838,2019000168393,1393.2,2019000048381,100001,1,4,7740.0,0,0,1,19,6,1,100,0,0,6,63,1,12,5000,1,11
2019,201901,4992,2019000178305,25696.8,2019000049921,260001,1,1,25696.8,2,0,1,34,1,1,100,0,0,6,64,1,10,68000,1,11
2019,201901,5147,2019000189476,19504.8,2019000051471,60001,1,1,19350.0,2,0,2,33,1,1,100,0,0,7,71,1,10,28000,1,11
2019,201901,5147,2019000189476,19504.8,2019000051471,60001,1,2,16408.8,2,0,1,37,1,1,100,0,0,6,63,1,10,52000,1,11
2019,201901,5457,2019000210500,56811.6,2019000054571,260001,1,2,60991.2,1,0,2,57,1,1,100,0,0,10,101,1,10,212000,1,11
2019,201901,5766,2019000229434,20124.0,2019000057661,20001,1,1,20124.0,0,0,1,31,6,1,100,0,0,6,63,1,10,50000,2,20
2019,201901,5766,2019000229434,20124.0,2019000057661,20001,1,2,21672.0,0,0,2,29,4,1,100,0,0,7,71,1,10,80000,1,11
2019,201901,5921,2019000240774,13622.4,2019000059211,110001,1,1,13622.4,1,0,1,46,1,1,100,0,0,6,63,1,10,0,1,11
2019,201901,5921,2019000240774,13622.4,2019000059211,110001,1,3,15789.6,0,0,2,21,4,1,100,0,0,6,63,1,10,18000,1,11
2019,201901,6231,2019000261559,35604.0,2019000062311,170001,1,1,35604.0,1,0,2,58,6,2,200,0,0,8,81,1,10,13000,1,11
2019,201901,6231,2019000261559,35604.0,2019000062311,170001,1,3,40093.2,0,0,2,25,6,2,200,0,0,7,71,1,10,11700,1,11
2019,201901,6386,2019000271593,8514.0,2019000063861,270301,1,1,8514.0,0,0,2,57,6,1,100,0,0,7,71,1,10,22000,1,11
2019,201901,6386,2019000271593,8514.0,2019000063861,270301,1,2,12384.0,0,0,2,59,4,1,100,0,0,7,71,1,10,28000,1,11
2019,201901,6540,2019000283733,13777.2,2019000065401,30101,1,2,18421.2,0,0,2,60,1,1,100,0,0,7,71,1,10,96000,1,11
2019,201901,6850,2019000305411,2012.4,2019000068501,150001,1,3,4024.8,0,0,1,35,4,1,100,0,0,6,64,1,12,0,1,11
2019,201901,7005,2019000315160,34830.0,2019000070051,160001,1,1,34830.0,1,1,1,49,1,4,400,0,0,6,65,1,10,10900,1,11
2019,201901,7005,2019000315160,34830.0,2019000070051,160001,1,2,25387.2,1,1,2,30,1,4,400,0,0,6,63,1,10,1600,1,11
2019,201901,7469,2019000346998,6656.4,2019000074691,140001,1,1,6656.4,0,0,2,50,1,1,100,0,0,5,50,1,10,0,1,11
2019,201901,7469,2019000346998,6656.4,2019000074691,140001,1,2,12538.8,0,0,1,57,1,6,640,0,0,0,2,1,10,0,1,11
2019,201901,7779,2019000369876,4489.2,2019000077791,220001,1,1,4334.4,0,0,2,57,1,1,100,0,0,6,63,1,10,20900,1,11
2019,201901,7934,2019000380201,10216.8,2019000079341,60001,1,1,10216.8,0,0,2,62,4,2,200,0,0,0,2,1,10,27000,1,11
2019,201901,8088,2019000392742,4644.0,2019000080881,250001,1,1,4644.0,1,0,2,38,1,2,200,0,0,6,63,1,10,500,1,11
2019,201901,8088,2019000392742,4644.0,2019000080881,250001,1,2,3560.4,1,0,1,39,1,2,200,0,0,6,63,1,10,26200,2,20
2019,201901,8243,2019000403588,10526.4,2019000082431,10001,1,2,21207.6,0,0,1,33,4,1,100,0,0,6,64,1,10,11900,1,11
2019,201901,8398,2019000414146,3250.8,2019000083981,250001,1,2,2012.4,1,1,1,26,1,1,100,0,0,6,63,1,10,29000,1,11
2019,201901,8553,2019000425634,21362.4,2019000085531,150001,1,2,17492.4,1,0,2,64,1,1,100,0,0,6,64,1,10,40000,1,11
2019,201901,9017,2019000458224,9597.6,2019000090171,90001,1,1,9597.6,0,0,1,63,1,1,100,0,0,4,40,1,10,0,1,11
2019,201901,9017,2019000458224,9597.6,2019000090171,90001,1,2,9907.2,0,0,2,60,1,1,100,0,0,6,64,1,10,0,1,11
2019,201901,9172,2019000468683,5572.8,2019000091721,120001,1,2,5727.6,1,0,1,64,1,1,100,0,0,11,115,1,10,0,1,11
2019,201901,9172,2019000468683,5572.8,2019000091721,120001,1,3,8668.8,0,0,2,28,6,1,100,0,0,10,101,1,10,36000,1,11
2019,201901,9327,2019000478782,12848.4,2019000093271,150001,1,1,12848.4,0,0,1,55,1,1,100,0,0,10,101,1,10,135000,1,11
2019,201901,9327,2019000478782,12848.4,2019000093271,150001,1,2,14860.8,0,0,2,51,1,1,100,0,0,10,101,1,10,24000,1,11
2019,201901,9791,2019000511624,8359.2,2019000097911,70001,1,1,8359.2,0,0,1,45,1,1,100,0,0,8,81,1,10,45000,1,11
2019,201901,9791,2019000511624,8359.2,2019000097911,70001,1,2,9442.8,0,0,2,34,1,1,100,0,0,10,101,1,10,38000,1,11
2019,201901,9946,2019000521933,14241.6,2019000099461,20001,1,1,14241.6,5,0,1,38,1,1,100,0,0,6,63,1,10,127000,1,11
2019,201901,9946,2019000521933,14241.6,2019000099461,20001,1,2,13158.0,5,0,2,40,1,1,100,0,0,6,65,1,10,45000,1,11
2019,201901,9946,2019000521933,14241.6,2019000099461,20001,1,7,13003.2,0,0,2,18,6,7,700,1,100,5,50,1,10,1300,1,11
2019,201901,10101,2019000533493,11455.2,2019000101011,70001,1,1,11455.2,0,0,1,61,2,1,100,0,0,10,101,1,10,85000,1,11
2019,201901,10256,2019000544577,15634.8,2019000102561,270301,1,1,15789.6,1,1,1,37,6,1,100,0,0,6,63,1,10,63000,1,11
2019,201901,10256,2019000544577,15634.8,2019000102561,270301,1,2,17182.8,1,1,2,29,6,1,100,0,0,7,71,1,10,0,1,11
2019,201901,10565,2019000564704,26935.2,2019000105651,180001,1,2,34830.0,0,0,1,18,6,2,200,0,0,6,63,1,10,4400,1,11
2019,201901,10875,2019000587038,4024.8,2019000108751,180001,1,1,4024.8,0,0,2,28,6,1,100,0,0,6,64,1,10,17000,1,11
2019,201901,11030,2019000598097,12538.8,2019000110301,30101,1,1,12538.8,2,0,1,53,1,1,100,0,0,7,71,1,10,65000,1,11
2019,201901,11030,2019000598097,12538.8,2019000110301,30101,1,2,12848.4,2,0,2,57,1,1,100,0,0,8,81,1,10,600,1,11
2019,201901,11184,2019000609472,12074.4,2019000111841,160001,1,1,12229.2,0,0,2,47,4,2,200,0,0,6,65,1,10,20000,1,11
2019,201901,11958,2019000661557,19040.4,2019000119581,10001,1,3,45820.8,0,0,2,46,4,1,100,0,0,8,81,1,10,52000,1,11
2019,201901,12113,2019000673437,10526.4,2019000121131,40001,1,1,10526.4,0,0,1,60,1,1,100,0,0,7,71,1,10,59000,1,11
2019,201901,12113,2019000673437,10526.4,2019000121131,40001,1,2,10681.2,0,0,2,59,1,1,100,0,0,7,71,1,10,37500,1,11
2019,201901,12423,2019000694413,26006.4,2019000124231,120001,1,1,26161.2,1,0,2,39,1,1,100,0,0,10,101,1,10,65000,1,11
2019,201901,12423,2019000694413,26006.4,2019000124231,120001,1,2,21672.0,1,0,1,39,1,1,100,0,0,10,101,1,10,95000,1,11
2019,201901,12578,2019000705885,23994.0,2019000125781,220001,1,1,23839.2,0,0,2,65,1,2,200,0,0,6,63,1,10,26000,1,11
2019,201901,12732,2019000716454,36842.4,2019000127321,230001,1,1,36842.4,0,0,1,62,1,1,100,0,0,6,63,1,10,34300,1,11
2019,201901,12732,2019000716454,36842.4,2019000127321,230001,1,2,25542.0,0,0,2,58,1,1,100,0,0,6,63,1,10,123000,1,11
2019,201901,12887,2019000725814,43653.6,2019000128871,170001,1,2,40557.6,0,0,1,34,6,1,100,0,0,4,40,1,10,61000,1,11
2019,201901,13042,2019000736581,18576.0,2019000130421,130401,1,1,18576.0,1,1,1,41,1,1,100,0,0,10,101,1,10,106000,1,11
2019,201901,13042,2019000736581,18576.0,2019000130421,130401,1,2,18111.6,1,1,2,36,1,1,100,0,0,10,101,1,10,27000,1,11
2019,201901,13661,2019000781567,16408.8,2019000136611,100001,1,1,16408.8,0,0,1,60,4,1,100,0,0,6,65,1,10,21200,1,13
2019,201901,14435,2019000834136,5572.8,2019000144351,220001,1,2,6966.0,2,0,1,57,1,2,200,0,0,8,81,1,10,68000,1,11
2019,201901,14900,2019000867901,10062.0,2019000149001,270301,1,1,10062.0,0,0,1,28,6,1,100,0,0,10,101,1,10,50000,1,11
2019,201901,14900,2019000867901,10062.0,2019000149001,270301,1,2,14241.6,0,0,1,29,6,1,100,0,0,10,101,1,10,55000,1,11
2019,201901,15054,2019000878084,9288.0,2019000150541,200001,1,1,9133.2,1,0,2,61,1,2,200,0,0,6,63,1,10,35000,1,11
2019,201901,15054,2019000878084,9288.0,2019000150541,200001,1,3,11764.8,1,0,1,36,6,2,200,0,0,6,63,1,10,19200,1,11
2019,201901,15209,2019000888539,2476.8,2019000152091,20001,1,1,2476.8,0,0,2,32,6,2,200,0,0,11,114,1,10,52000,1,11
2019,201901,15364,2019000899051,6966.0,2019000153641,200001,1,1,6966.0,4,0,2,56,1,2,200,0,0,10,101,1,10,42600,1,11
2019,201901,15364,2019000899051,6966.0,2019000153641,200001,1,2,8514.0,4,0,1,55,1,2,200,0,0,11,114,1,10,52000,2,20
2019,201901,15364,2019000899051,6966.0,2019000153641,200001,1,3,16563.6,1,0,2,32,6,2,200,0,0,7,71,1,10,35500,1,11
2019,201901,15364,2019000899051,6966.0,2019000153641,200001,1,4,16408.8,0,0,2,30,6,2,200,0,0,8,81,1,10,19000,1,11
2019,201901,15519,2019000910902,5882.4,2019000155191,100001,1,1,5882.4,0,0,2,62,3,2,200,0,0,8,81,1,10,12000,1,11
2019,201901,15983,2019000943710,22600.8,2019000159831,20001,1,2,25387.2,0,0,1,20,6,2,200,0,0,6,65,1,10,4500,1,11
2019,201901,16293,2019000964508,10062.0,2019000162931,50001,1,1,10216.8,3,0,1,42,1,1,100,0,0,6,63,1,10,9000,1,11
2019,201901,16293,2019000964508,10062.0,2019000162931,50001,1,2,7894.8,3,0,2,41,1,1,100,0,0,8,81,1,10,50000,1,11
2019,201901,16293,2019000964508,10062.0,2019000162931,50001,1,3,12384.0,0,0,2,18,6,1,100,0,0,6,63,1,10,5000,1,11
2019,201901,16293,2019000964508,10062.0,2019000162931,50001,1,4,6192.0,0,0,2,18,6,1,100,0,0,6,63,1,10,4000,1,11
2019,201901,16912,2019001009599,18421.2,2019000169121,270101,1,1,18421.2,0,0,1,35,1,1,100,0,0,10,101,1,10,150000,2,20
2019,201901,16912,2019001009599,18421.2,2019000169121,270101,1,2,20433.6,0,0,2,29,1,1,100,0,0,11,114,1,10,30000,1,11
2019,201901,17067,2019001018006,43498.8,2019000170671,50001,1,1,43344.0,1,0,1,31,6,1,100,0,0,7,71,1,10,85000,1,11
2019,201901,17067,2019001018006,43498.8,2019000170671,50001,1,2,69969.6,1,0,2,28,6,1,100,0,0,7,71,1,10,65000,1,11
2019,201901,17222,2019001029930,4644.0,2019000172221,180001,1,1,4644.0,2,0,2,32,1,1,100,0,0,11,114,1,10,100000,1,11
2019,201901,17222,2019001029930,4644.0,2019000172221,180001,1,2,19040.4,2,0,1,38,1,1,100,0,0,8,81,1,10,48000,1,11
2019,201901,17376,2019001039578,11455.2,2019000173761,260001,1,1,11455.2,0,0,1,59,1,1,100,0,0,10,101,1,10,53000,1,11
2019,201901,17376,2019001039578,11455.2,2019000173761,260001,1,2,12229.2,0,0,2,56,1,1,100,0,0,7,71,1,10,68000,1,11
2019,201901,17531,2019001050799,10836.0,2019000175311,140001,1,2,13158.0,0,0,2,50,6,1,100,0,0,6,63,1,10,15600,1,13
2019,201901,17996,2019001086723,75542.4,2019000179961,210001,1,1,75542.4,0,0,1,51,4,1,100,0,0,6,63,1,10,52000,1,11
2019,201901,18460,2019001119914,17647.2,2019000184601,50001,1,1,17647.2,0,0,2,51,5,1,100,0,0,2,26,1,10,15000,1,11
2019,201901,18615,2019001130497,10371.6,2019000186151,60001,1,1,10216.8,0,0,1,58,4,1,100,0,0,10,101,1,10,0,2,20
2019,201901,18924,2019001152469,10836.0,2019000189241,110001,1,1,10681.2,0,0,1,56,4,1,100,0,0,4,40,1,10,29200,1,11
2019,201901,18924,2019001152469,10836.0,2019000189241,110001,1,2,16563.6,1,0,2,53,4,1,100,0,0,6,65,1,10,29200,1,11
2019,201901,19234,2019001172199,5882.4,2019000192341,200001,1,1,6037.2,0,0,1,43,4,1,100,0,0,8,81,1,10,45000,2,20
2019,201901,19389,2019001184401,11610.0,2019000193891,60001,1,1,11455.2,2,0,1,52,4,2,200,0,0,6,63,1,10,40000,1,11
2019,201901,19389,2019001184401,11610.0,2019000193891,60001,1,2,16254.0,2,0,2,41,6,2,200,0,0,6,63,1,10,32000,1,11
2019,201901,19389,2019001184401,11610.0,2019000193891,60001,1,4,15480.0,0,0,1,22,6,2,200,0,0,6,63,1,10,23000,1,11
2019,201901,19544,2019001194256,13622.4,2019000195441,130301,1,1,13467.6,1,0,1,51,1,1,100,0,0,11,115,1,10,368000,1,11
2019,201901,19544,2019001194256,13622.4,2019000195441,130301,1,2,9752.4,1,0,2,52,1,1,100,0,0,10,101,1,10,12000,1,11
2019,201901,19853,2019001217148,23374.8,2019000198531,40001,1,1,23220.0,0,0,1,50,1,1,100,0,0,11,114,1,10,100000,1,11
2019,201901,20318,2019001248969,1238.4,2019000203181,240001,1,1,1393.2,0,0,1,64,1,1,100,0,0,6,63,1,10,52000,1,11
2019,201901,20318,2019001248969,1238.4,2019000203181,240001,1,2,619.2,0,0,2,49,1,6,600,0,0,10,101,1,10,21800,1,11
2019,201901,20627,2019001270986,3405.6,2019000206271,250001,1,1,3405.6,0,0,1,53,1,1,100,0,0,7,71,1,10,38000,1,11
2019,201901,20627,2019001270986,3405.6,2019000206271,250001,1,2,3250.8,0,0,2,55,1,1,100,0,0,10,101,1,10,42000,1,11
2019,201901,20937,2019001291319,13158.0,2019000209371,160001,1,1,13312.8,2,0,2,42,4,1,100,0,0,11,114,1,10,75000,1,11
2019,201901,21092,2019001301458,22291.2,2019000210921,70001,1,1,22291.2,1,0,2,59,5,1,100,0,0,6,65,1,10,24000,1,11
2019,201901,21092,2019001301458,22291.2,2019000210921,70001,1,2,19195.2,3,0,1,39,4,1,100,0,0,10,101,1,10,13000,1,11
2019,201901,21246,2019001312950,27554.4,2019000212461,250001,1,2,19040.4,4,1,1,33,1,1,100,0,0,6,65,1,14,5700,1,12
2019,201901,21401,2019001322967,43653.6,2019000214011,80001,1,1,43498.8,0,0,1,28,6,1,100,0,0,7,71,1,10,34300,1,11
2019,201901,21401,2019001322967,43653.6,2019000214011,80001,1,2,54180.0,0,0,2,23,6,1,100,0,0,10,101,1,10,21100,1,11
2019,201901,21556,2019001334230,31579.2,2019000215561,100001,1,2,68576.4,0,0,1,35,6,1,100,0,0,6,64,1,10,6000,1,11
2019,201901,21556,2019001334230,31579.2,2019000215561,100001,1,4,47678.4,0,0,1,25,6,1,100,0,0,6,63,1,10,15000,1,11
2019,201901,21866,2019001356921,20898.0,2019000218661,30101,1,1,20898.0,0,0,2,32,6,1,100,0,0,10,101,1,10,51000,1,11
2019,201901,22020,2019001368290,44427.6,2019000220201,130401,1,1,44272.8,2,0,2,49,1,1,100,0,0,11,116,1,10,80000,1,11
2019,201901,22020,2019001368290,44427.6,2019000220201,130401,1,2,42105.6,2,0,1,51,1,1,100,0,0,11,116,1,10,150000,1,11
2019,201901,22020,2019001368290,44427.6,2019000220201,130401,1,3,49536.0,0,0,1,20,6,1,100,0,0,6,65,1,10,0,1,11
2019,201901,22175,2019001379338,5572.8,2019000221751,210001,1,1,5727.6,2,0,1,43,1,1,100,0,0,10,101,1,10,62000,1,11
2019,201901,22175,2019001379338,5572.8,2019000221751,210001,1,2,5882.4,2,0,2,39,1,1,100,0,0,10,101,1,10,63000,1,11
2019,201901,22794,2019010039869,10526.4,2019000227941,40002,4,1,10526.4,0,0,1,55,2,1,100,0,0,11,114,1,10,80000,2,20
2019,201901,23414,2019000144316,1857.6,2019000234141,40002,1,1,1857.6,3,0,2,33,3,3,374,0,0,7,71,1,10,46000,1,11
2019,201901,23568,2019000230623,4953.6,2019000235681,40002,1,2,3870.0,0,0,1,45,6,3,370,0,0,6,63,1,10,8000,1,11
2019,201901,23723,2019000322805,5418.0,2019000237231,20002,1,2,4334.4,0,0,2,63,1,1,100,0,0,6,63,1,10,19500,1,11
2019,201901,23878,2019000421140,27399.6,2019000238781,20002,1,1,27399.6,0,0,1,61,1,1,100,0,0,7,71,1,10,39000,2,20
2019,201901,24033,2019000514195,5727.6,2019000240331,20002,1,1,5727.6,2,1,1,29,6,6,661,0,0,6,63,1,10,35000,1,11
2019,201901,24188,2019000621005,7430.4,2019000241881,20002,1,1,7430.4,1,0,1,64,1,1,100,0,0,8,81,1,10,26000,1,11
2019,201901,24188,2019000621005,7430.4,2019000241881,20002,1,3,16718.4,0,0,1,40,6,1,100,0,0,6,63,1,10,40000,1,11
2019,201901,24342,2019000710803,41486.4,2019000243421,10202,1,1,41486.4,0,0,2,36,6,1,100,0,0,10,101,1,10,60000,1,11
2019,201901,24807,2019001013504,104490.0,2019000248071,30002,1,1,104335.2,3,0,2,41,4,7,700,0,0,7,71,1,10,32000,1,11
2019,201901,25116,2019001202163,53715.6,2019000251161,30002,1,2,59598.0,4,2,1,32,1,1,100,0,0,6,65,1,14,60000,1,12
2019,201901,25271,2019001303790,16254.0,2019000252711,10102,1,1,16408.8,0,0,1,47,6,1,100,0,0,10,101,1,10,30000,1,11
2019,201901,25426,2019001394397,17182.8,2019000254261,10202,1,1,17182.8,0,0,2,54,1,1,100,0,0,10,101,1,10,50000,1,11
2019,201901,25426,2019001394397,17182.8,2019000254261,10202,1,2,15789.6,0,0,1,58,1,1,100,0,0,6,65,1,10,76000,1,11
2019,201901,26974,2019010071783,464.4,2019000269741,20904,4,1,464.4,0,0,2,60,4,1,100,0,0,6,63,1,10,7200,1,11
2019,201901,27593,2019010101072,2941.2,2019000275931,10504,4,1,2941.2,0,0,1,64,4,1,100,0,0,6,63,1,10,15000,2,20
2019,201901,28522,2019010143723,8978.4,2019000285221,20704,4,1,8978.4,0,0,1,19,6,1,100,0,0,7,71,1,10,2400,1,11
2019,201901,28677,2019000000175,9288.0,2019000286771,80704,1,1,9133.2,2,1,1,24,1,1,100,0,0,7,71,1,10,6400,1,11
2019,201901,28677,2019000000175,9288.0,2019000286771,80704,1,2,11145.6,2,1,2,25,1,1,100,0,0,6,63,1,10,0,1,11
2019,201901,29606,2019000051889,31269.6,2019000296061,10404,1,1,31114.8,0,0,1,45,1,1,100,0,0,7,71,1,10,36000,1,11
2019,201901,29606,2019000051889,31269.6,2019000296061,10404,1,2,34210.8,0,0,2,38,1,1,100,0,0,6,63,1,10,23000,1,11
2019,201901,29606,2019000051889,31269.6,2019000296061,10404,1,3,36068.4,0,0,2,56,1,1,100,0,0,7,71,1,10,510,1,11
2019,201901,29915,2019000068582,10371.6,2019000299151,11004,1,1,10371.6,0,0,2,37,6,1,100,0,0,10,101,1,10,120000,1,11
2019,201901,29915,2019000068582,10371.6,2019000299151,11004,1,2,9597.6,0,0,1,43,4,1,100,0,0,10,101,1,10,65000,1,11
2019,201901,30070,2019000076397,9907.2,2019000300701,11204,1,1,9907.2,0,0,1,64,1,2,200,0,0,7,71,1,10,5000,1,11
2019,201901,30225,2019000085223,7120.8,2019000302251,10604,1,2,11764.8,0,0,1,52,1,1,100,0,0,10,101,1,10,130000,2,20
2019,201901,30380,2019000092301,60836.4,2019000303801,13104,1,1,60681.6,3,0,2,48,1,1,100,0,0,10,101,1,10,44000,1,11
2019,201901,30380,2019000092301,60836.4,2019000303801,13104,1,2,62229.6,3,0,1,50,1,1,100,0,0,10,101,1,10,100000,1,11
2019,201901,30380,2019000092301,60836.4,2019000303801,13104,1,3,67957.2,0,0,2,23,6,1,100,0,0,10,101,1,10,10700,1,11
2019,201901,30534,2019000099535,8359.2,2019000305341,10104,1,3,12693.6,1,0,2,49,4,1,100,0,0,6,63,1,10,20000,1,11
2019,201901,30534,2019000099535,8359.2,2019000305341,10104,1,4,11919.6,0,0,1,25,6,1,100,0,0,6,64,1,10,20000,1,11
2019,201901,30999,2019000124198,7740.0,2019000309991,10204,1,1,7740.0,1,0,2,48,1,1,100,0,0,6,63,1,10,57000,1,11
2019,201901,30999,2019000124198,7740.0,2019000309991,10204,1,2,8823.6,1,0,1,53,1,1,100,0,0,7,71,1,10,67000,1,11
2019,201901,30999,2019000124198,7740.0,2019000309991,10204,1,3,9288.0,0,0,2,21,6,1,100,0,0,6,65,1,10,33000,1,11
2019,201901,31154,2019000131538,4179.6,2019000311541,80004,1,2,1857.6,0,0,1,56,1,1,100,0,0,6,65,1,10,52000,1,13
2019,201901,31463,2019000148099,4489.2,2019000314631,40004,1,2,4024.8,0,0,1,45,4,3,315,0,0,6,65,1,10,1800,1,11
2019,201901,31928,2019000171578,17028.0,2019000319281,10604,1,1,17028.0,0,0,1,39,6,6,640,0,0,10,101,1,10,108000,1,11
2019,201901,32237,2019000186978,11919.6,2019000322371,12104,1,1,11919.6,2,0,1,34,1,1,100,1,100,6,61,1,10,27000,1,11
2019,201901,32392,2019000194219,8514.0,2019000323921,30004,1,1,8359.2,0,0,2,40,1,3,315,0,0,11,114,1,10,50000,1,11
2019,201901,32392,2019000194219,8514.0,2019000323921,30004,1,2,7894.8,0,0,1,35,1,3,315,0,0,6,63,1,10,24000,1,11
2019,201901,32547,2019000201492,10836.0,2019000325471,11304,1,1,10836.0,1,0,1,46,1,6,630,1,100,0,2,1,10,990,1,11
2019,201901,32547,2019000201492,10836.0,2019000325471,11304,1,2,11610.0,1,0,2,41,1,1,100,1,100,0,2,1,10,8800,1,11
2019,201901,32547,2019000201492,10836.0,2019000325471,11304,1,3,11610.0,0,0,1,20,6,1,100,1,100,7,71,1,10,2000,1,11
2019,201901,32702,2019000209168,11145.6,2019000327021,10804,1,2,22446.0,0,0,1,23,2,2,200,0,0,8,81,1,10,17000,1,11
2019,201901,33166,2019000232768,7430.4,2019000331661,20204,1,2,7894.8,0,0,2,59,4,1,100,0,0,10,101,1,10,47600,1,11
2019,201901,34095,2019000279060,9442.8,2019000340951,90004,1,1,9442.8,0,0,2,55,4,1,100,0,0,7,71,1,10,21600,1,11
2019,201901,34250,2019000286966,7894.8,2019000342501,12704,1,1,7894.8,3,1,1,40,1,1,100,0,0,10,101,1,10,60000,1,11
2019,201901,34250,2019000286966,7894.8,2019000342501,12704,1,2,7894.8,3,1,2,38,1,1,100,0,0,8,81,1,10,8000,1,11
2019,201901,34404,2019000294315,15325.2,2019000344041,20904,1,1,15170.4,0,0,1,26,6,1,100,0,0,6,65,1,10,31200,1,11
2019,201901,34404,2019000294315,15325.2,2019000344041,20904,1,2,19350.0,0,0,2,25,6,6,600,0,0,10,101,1,10,44000,1,11
2019,201901,34559,2019000301503,17647.2,2019000345591,90004,1,1,17492.4,1,0,2,54,1,1,100,4,498,6,65,1,10,54000,1,11
2019,201901,34559,2019000301503,17647.2,2019000345591,90004,1,3,8359.2,0,0,2,26,6,1,100,4,498,10,101,1,10,38000,1,11
2019,201901,34714,2019000309336,7585.2,2019000347141,10104,1,1,7585.2,0,0,2,62,1,1,100,0,0,6,65,1,10,42600,1,11
2019,201901,34869,2019000317544,16254.0,2019000348691,11304,1,1,16254.0,0,0,1,61,1,1,100,0,0,11,114,1,10,143000,1,11
2019,201901,34869,2019000317544,16254.0,2019000348691,11304,1,2,16563.6,0,0,1,56,1,1,100,0,0,11,114,1,10,170000,1,11
2019,201901,35024,2019000325185,6966.0,2019000350241,10504,1,1,6966.0,0,0,2,63,5,1,100,0,0,6,65,1,10,33000,1,11
2019,201901,35333,2019000339738,9907.2,2019000353331,20304,1,2,10836.0,1,0,2,52,1,1,100,0,0,11,114,1,10,36000,1,11
2019,201901,35488,2019000346959,8359.2,2019000354881,10604,1,1,8359.2,1,0,2,50,1,1,100,0,0,6,63,1,10,192000,1,11
2019,201901,35488,2019000346959,8359.2,2019000354881,10604,1,2,8823.6,1,0,1,47,1,1,100,0,0,6,63,1,10,83000,1,11
2019,201901,35643,2019000354542,2786.4,2019000356431,40004,1,2,2941.2,0,0,1,51,6,3,315,0,0,6,65,1,10,40000,1,11
2019,201901,35798,2019000362823,19040.4,2019000357981,11004,1,3,28947.6,0,0,1,49,6,1,100,0,0,10,101,1,10,40000,1,11
2019,201901,35952,2019000370472,7894.8,2019000359521,10104,1,1,7894.8,0,0,1,62,1,1,100,0,0,7,71,1,10,45000,1,11
2019,201901,35952,2019000370472,7894.8,2019000359521,10104,1,2,7275.6,0,0,2,59,1,1,100,0,0,10,101,1,10,6000,1,11
2019,201901,36107,2019000378532,24458.4,2019000361071,13404,1,1,24613.2,1,1,2,32,1,1,100,1,100,6,65,1,10,38000,1,11
2019,201901,36107,2019000378532,24458.4,2019000361071,13404,1,2,18421.2,1,1,1,36,1,1,100,0,0,7,71,1,10,18000,1,11
2019,201901,36262,2019000386280,3096.0,2019000362621,90004,1,2,2322.0,0,0,1,55,6,1,100,1,100,6,63,1,10,8000,1,11
